file,atom,Count
anonymously-parsed-code.c,implicit-predicate,2926
linux/drivers/scsi/lpfc/lpfc_sli.c,operator-precedence,1377
emacs/src/xdisp.c,omitted-curly-braces,1132
linux/drivers/md/raid5.c,operator-precedence,1113
linux/drivers/net/ethernet/broadcom/tg3.c,omitted-curly-braces,1081
linux/drivers/gpu/drm/i915/gvt/handlers.c,implicit-predicate,964
mysql-server/storage/ndb/test/ndbapi/testBlobs.cpp,implicit-predicate,906
linux/drivers/media/dvb-frontends/drxk_hard.c,omitted-curly-braces,880
anonymously-parsed-code.c,comma-operator,871
linux/drivers/md/md.c,operator-precedence,765
linux/drivers/net/ethernet/intel/i40e/i40e_main.c,operator-precedence,759
linux/drivers/md/md.c,omitted-curly-braces,721
linux/drivers/gpu/drm/i915/intel_display.c,omitted-curly-braces,713
linux/drivers/scsi/lpfc/lpfc_init.c,operator-precedence,657
mysql-server/storage/ndb/test/ndbapi/testOIBasic.cpp,implicit-predicate,648
linux/drivers/media/dvb-frontends/stv090x.c,omitted-curly-braces,642
linux/drivers/scsi/lpfc/lpfc_sli.c,omitted-curly-braces,639
linux/drivers/net/ethernet/neterion/s2io.c,operator-precedence,615
linux/drivers/net/ethernet/sun/niu.c,omitted-curly-braces,601
linux/drivers/scsi/bfa/bfad_bsg.c,operator-precedence,585
linux/drivers/md/raid5.c,omitted-curly-braces,582
linux/drivers/isdn/hardware/eicon/message.c,omitted-curly-braces,573
linux/drivers/net/ethernet/broadcom/bnx2x/bnx2x_main.c,omitted-curly-braces,566
mysql-server/sql/opt_range.cc,omitted-curly-braces,562
linux/drivers/net/wireless/intel/ipw2x00/ipw2200.c,operator-precedence,560
linux/drivers/scsi/scsi_transport_iscsi.c,operator-precedence,558
linux/drivers/net/ethernet/intel/ixgbe/ixgbe_main.c,omitted-curly-braces,545
linux/drivers/scsi/ipr.c,operator-precedence,518
linux/drivers/net/ethernet/broadcom/bnx2x/bnx2x_main.c,operator-precedence,517
linux/drivers/scsi/qla2xxx/qla_init.c,operator-precedence,512
emacs/src/xdisp.c,operator-precedence,510
linux/drivers/net/ethernet/intel/i40e/i40e_main.c,omitted-curly-braces,498
linux/drivers/clk/sunxi-ng/ccu-sun4i-a10.c,operator-precedence,482
mysql-server/sql/sql_optimizer.cc,omitted-curly-braces,478
emacs/src/coding.c,omitted-curly-braces,478
linux/drivers/net/wireless/broadcom/brcm80211/brcmsmac/phy/phy_n.c,omitted-curly-braces,470
emacs/src/keyboard.c,omitted-curly-braces,461
emacs/test/manual/etags/c-src/emacs/src/keyboard.c,omitted-curly-braces,456
linux/drivers/scsi/megaraid/megaraid_sas_base.c,operator-precedence,455
mysql-server/storage/ndb/test/ndbapi/testDict.cpp,implicit-predicate,453
linux/drivers/gpu/drm/i915/intel_display.c,operator-precedence,451
